year,subject,stem_non-stem,sex,total
2014,(1) Medicine & dentistry,Science,Female,37855
2014,(1) Medicine & dentistry,Science,Male,29465
2014,(1) Medicine & dentistry,Science,Other,5
2014,(2) Subjects allied to medicine,Science,Female,217195
2014,(2) Subjects allied to medicine,Science,Male,56035
2014,(2) Subjects allied to medicine,Science,Other,15
2014,(3) Biological sciences,Science,Female,126175
2014,(3) Biological sciences,Science,Male,81370
2014,(3) Biological sciences,Science,Other,15
2014,(4) Veterinary science,Science,Female,4515
2014,(4) Veterinary science,Science,Male,1420
2014,(4) Veterinary science,Science,Other,0
2014,(5) Agriculture & related subjects,Science,Female,11010
2014,(5) Agriculture & related subjects,Science,Male,7350
2014,(5) Agriculture & related subjects,Science,Other,0
2014,(6) Physical sciences,Science,Female,36925
2014,(6) Physical sciences,Science,Male,56385
2014,(6) Physical sciences,Science,Other,10
2014,(7) Mathematical sciences,Science,Female,16030
2014,(7) Mathematical sciences,Science,Male,26195
2014,(7) Mathematical sciences,Science,Other,5
2014,(8) Computer science,Science,Female,15645
2014,(8) Computer science,Science,Male,75920
2014,(8) Computer science,Science,Other,10
2014,(9) Engineering & technology,Science,Female,25580
2014,(9) Engineering & technology,Science,Male,133405
2014,(9) Engineering & technology,Science,Other,25
2014,"(A) Architecture, building & planning",Science,Female,17185
2014,"(A) Architecture, building & planning",Science,Male,31970
2014,"(A) Architecture, building & planning",Science,Other,5
2014,(B) Social studies,Non-Science,Female,131100
2014,(B) Social studies,Non-Science,Male,79450
2014,(B) Social studies,Non-Science,Other,30
2014,(C) Law,Non-Science,Female,54015
2014,(C) Law,Non-Science,Male,35200
2014,(C) Law,Non-Science,Other,15
2014,(D) Business & administrative studies,Non-Science,Female,165175
2014,(D) Business & administrative studies,Non-Science,Male,171405
2014,(D) Business & administrative studies,Non-Science,Other,20
2014,(E) Mass communications & documentation,Non-Science,Female,29065
2014,(E) Mass communications & documentation,Non-Science,Male,20450
2014,(E) Mass communications & documentation,Non-Science,Other,5
2014,(F) Languages,Non-Science,Female,81165
2014,(F) Languages,Non-Science,Male,36485
2014,(F) Languages,Non-Science,Other,10
2014,(G) Historical & philosophical studies,Non-Science,Female,47655
2014,(G) Historical & philosophical studies,Non-Science,Male,41955
2014,(G) Historical & philosophical studies,Non-Science,Other,10
2014,(H) Creative arts & design,Non-Science,Female,106390
2014,(H) Creative arts & design,Non-Science,Male,62440
2014,(H) Creative arts & design,Non-Science,Other,30
2014,(I) Education,Non-Science,Female,131450
2014,(I) Education,Non-Science,Male,41555
2014,(I) Education,Non-Science,Other,20
2015,(1) Medicine & dentistry,Science,Female,37335
2015,(1) Medicine & dentistry,Science,Male,28660
2015,(1) Medicine & dentistry,Science,Other,5
2015,(2) Subjects allied to medicine,Science,Female,218510
2015,(2) Subjects allied to medicine,Science,Male,56815
2015,(2) Subjects allied to medicine,Science,Other,20
2015,(3) Biological sciences,Science,Female,128775
2015,(3) Biological sciences,Science,Male,82570
2015,(3) Biological sciences,Science,Other,20
2015,(4) Veterinary science,Science,Female,4495
2015,(4) Veterinary science,Science,Male,1405
2015,(4) Veterinary science,Science,Other,0
2015,(5) Agriculture & related subjects,Science,Female,11855
2015,(5) Agriculture & related subjects,Science,Male,7350
2015,(5) Agriculture & related subjects,Science,Other,0
2015,(6) Physical sciences,Science,Female,37080
2015,(6) Physical sciences,Science,Male,56660
2015,(6) Physical sciences,Science,Other,15
2015,(7) Mathematical sciences,Science,Female,15955
2015,(7) Mathematical sciences,Science,Male,26440
2015,(7) Mathematical sciences,Science,Other,5
2015,(8) Computer science,Science,Female,16040
2015,(8) Computer science,Science,Male,77170
2015,(8) Computer science,Science,Other,20
2015,(9) Engineering & technology,Science,Female,26955
2015,(9) Engineering & technology,Science,Male,134340
2015,(9) Engineering & technology,Science,Other,20
2015,"(A) Architecture, building & planning",Science,Female,17365
2015,"(A) Architecture, building & planning",Science,Male,30885
2015,"(A) Architecture, building & planning",Science,Other,5
2015,(B) Social studies,Non-Science,Female,130585
2015,(B) Social studies,Non-Science,Male,77380
2015,(B) Social studies,Non-Science,Other,35
2015,(C) Law,Non-Science,Female,53555
2015,(C) Law,Non-Science,Male,34035
2015,(C) Law,Non-Science,Other,15
2015,(D) Business & administrative studies,Non-Science,Female,161450
2015,(D) Business & administrative studies,Non-Science,Male,165330
2015,(D) Business & administrative studies,Non-Science,Other,20
2015,(E) Mass communications & documentation,Non-Science,Female,28775
